iter	RMSE
0	10.57952086
1	10.41656079
2	10.29092754
3	10.18034595
4	10.06932076
5	9.942985247
6	9.834521924
7	9.752825329
8	9.643709644
9	9.550774631
10	9.445086038
11	9.357522573
12	9.261505607
13	9.172727498
14	9.074077846
15	9.007462619
16	8.940372817
17	8.852755185
18	8.786258635
19	8.716480431
20	8.642586708
21	8.577310132
22	8.492005432
23	8.437828922
24	8.391861368
25	8.339435749
26	8.280094824
27	8.227336932
28	8.174376591
29	8.125186376
30	8.089613531
31	8.042263409
32	8.005819095
33	7.942317767
34	7.909461831
35	7.854613794
36	7.812227735
37	7.774698376
38	7.744571054
39	7.689741124
40	7.650989294
41	7.620600529
42	7.576054375
43	7.553632982
44	7.525417641
45	7.504556343
46	7.46810798
47	7.421665805
48	7.361409415
49	7.345073476
50	7.310760553
51	7.289620617
52	7.271364589
53	7.23598886
54	7.209290706
55	7.192972075
56	7.165206963
57	7.143306238
58	7.130289811
59	7.1004349
60	7.047751399
61	7.030135926
62	7.019794233
63	7.001347476
64	6.990293368
65	6.96921403
66	6.960315912
67	6.936880482
68	6.921703042
69	6.90757526
70	6.862143631
71	6.841489319
72	6.817849216
73	6.786796339
74	6.769606542
75	6.752338563
76	6.721401097
77	6.695638701
78	6.680262335
79	6.670688934
80	6.659735967
81	6.6462821
82	6.634976979
83	6.624362701
84	6.593831959
85	6.587736244
86	6.573121192
87	6.554861749
88	6.534015405
89	6.520926104
90	6.508447473
91	6.485173552
92	6.456722179
93	6.446151343
94	6.429845436
95	6.417207236
96	6.400375713
97	6.391535907
98	6.379999698
99	6.350126201
