iter	Passed	Remaining
0	2	1986
1	4	1853
2	7	1862
3	9	1804
4	11	1792
5	13	1770
6	15	1776
7	17	1752
8	20	1765
9	22	1779
10	24	1764
11	26	1750
12	28	1743
13	31	1751
14	33	1750
15	35	1747
16	38	1757
17	40	1756
18	42	1756
19	45	1759
20	47	1761
21	49	1765
22	52	1759
23	54	1766
24	56	1756
25	58	1755
26	61	1765
27	64	1764
28	66	1756
29	68	1755
30	70	1751
31	72	1744
32	74	1738
33	76	1732
34	79	1731
35	81	1729
36	83	1726
37	86	1725
38	87	1716
39	90	1713
40	92	1710
41	94	1711
42	97	1711
43	99	1713
44	102	1715
45	104	1714
46	106	1712
47	109	1710
48	111	1711
49	114	1710
50	116	1710
51	118	1710
52	121	1706
53	123	1703
54	125	1702
55	127	1700
56	130	1699
57	132	1700
58	135	1696
59	137	1697
60	139	1695
61	142	1693
62	144	1690
63	146	1688
64	149	1688
65	151	1684
66	153	1682
67	156	1679
68	158	1677
69	160	1676
70	163	1676
71	165	1671
72	167	1667
73	169	1665
74	172	1663
75	174	1661
76	176	1658
77	179	1660
78	181	1656
79	183	1654
80	186	1652
81	188	1650
82	190	1649
83	193	1648
84	195	1646
85	197	1643
86	200	1640
87	202	1639
88	205	1638
89	207	1637
90	209	1635
91	212	1632
92	214	1630
93	216	1626
94	218	1623
95	221	1621
96	223	1620
97	226	1619
98	228	1617
99	230	1616
100	233	1615
101	235	1613
102	238	1612
103	240	1611
104	243	1608
105	245	1605
106	247	1601
107	249	1599
108	252	1598
109	254	1595
110	256	1593
111	258	1590
112	261	1587
113	263	1585
114	266	1585
115	268	1582
116	270	1580
117	273	1579
118	275	1575
119	277	1572
120	279	1569
121	281	1566
122	284	1563
123	286	1561
124	288	1560
125	291	1558
126	293	1555
127	295	1552
128	297	1549
129	300	1547
130	302	1545
131	305	1544
132	307	1542
133	310	1541
134	312	1538
135	314	1535
136	316	1533
137	319	1530
138	321	1528
139	323	1526
140	326	1524
141	328	1521
142	330	1519
143	333	1517
144	335	1515
145	337	1513
146	340	1511
147	342	1508
148	344	1506
149	347	1504
150	349	1501
151	351	1499
152	353	1496
153	356	1494
154	358	1491
155	360	1488
156	362	1485
157	364	1482
158	367	1481
159	369	1479
160	372	1476
161	374	1475
162	376	1472
163	379	1469
164	381	1467
165	383	1465
166	385	1462
167	388	1459
168	390	1456
169	392	1453
170	394	1450
171	396	1447
172	398	1445
173	400	1441
174	402	1438
175	405	1436
176	407	1434
177	409	1432
178	412	1430
179	414	1429
180	417	1426
181	419	1423
182	421	1420
183	423	1417
184	425	1414
185	428	1413
186	430	1411
187	433	1409
188	435	1407
189	437	1405
190	440	1402
191	442	1401
192	444	1399
193	447	1396
194	449	1394
195	451	1391
196	453	1388
197	455	1385
198	457	1382
199	460	1381
200	462	1378
201	465	1376
202	467	1374
203	469	1371
204	471	1369
205	473	1365
206	475	1363
207	478	1360
208	480	1358
209	482	1355
210	484	1353
211	487	1351
212	489	1348
213	491	1346
214	494	1344
215	496	1342
216	498	1339
217	500	1337
218	503	1334
219	505	1332
220	508	1331
221	510	1328
222	512	1326
223	514	1323
224	516	1320
225	518	1318
226	521	1315
227	523	1314
228	526	1311
229	528	1309
230	531	1308
231	533	1305
232	535	1303
233	538	1301
234	540	1299
235	542	1296
236	545	1295
237	547	1292
238	549	1290
239	552	1288
240	554	1286
241	556	1283
242	559	1281
243	561	1278
244	563	1276
245	566	1274
246	568	1272
247	570	1270
248	572	1267
249	575	1265
250	577	1262
251	579	1260
252	581	1258
253	584	1256
254	587	1254
255	589	1253
256	591	1250
257	594	1248
258	596	1246
259	598	1243
260	601	1241
261	603	1239
262	605	1237
263	608	1234
264	610	1232
265	612	1230
266	615	1228
267	617	1226
268	619	1223
269	622	1221
270	624	1218
271	626	1216
272	629	1214
273	631	1212
274	633	1209
275	636	1207
276	638	1205
277	640	1203
278	642	1200
279	645	1198
280	647	1196
